<title>次丁景蘭學官韻</title>,<text>白髮靑衫行塞外。老夫身世正堪憐。戈矛日夕趨戎幕。風月何秊趁漁船。河水洋洋西北注。胡山鬱鬱犬牙連。防秋事急長料理。手下貔貅萬又千。其二匹馬西來蓬轉遠。綈袍誰有故人憐。形容 缺 霜草。身世蒼茫失楫船。竆鬼沓來▣▣▣。▣▣▣▣若環連。客窓空結還鄕▣。▣▣▣▣路二千。其三缺 旅邊城遠。白首功名衆所憐。日夕空懷越鳥戀。幾時能涉浿江船。滔滔逝水山相趁。漠漠長天野與連。却憶南湖秋後事。鷺羣爲百鴈羣千。其四西風吹雨薄雲散。霽後秋山看更憐。落葉飛時埋野徑。夜燈明處認漁船。孤城畫角三聲斷。淸靄奇霞一色連。對此思歸歸未得。山重萬外水重千。其五太守看山長拄頰。朝朝物態漸生憐。黃花滿岸迷人眼。丹葉翻江暎客船。上院雲光內院抹。東臺秋色北臺連。仍思羽化登楓岳。安得身遊萬二千。其六千里客逢千里客。却緣同病更相憐。慚吾久作馴籠鳥。羨子長爲不繫船。北海酒樽東閣士。萬山風雨一床連。時時覓句多淸麗。應秖奚囊富有千。其七顔非借酒無由渥。士非知心孰我憐。自笑久爲鈴下客。莫如歸棹剡中船。劒埋光處何須掘。琴斷絃來不欲連。西塞風霜今▣▣。▣▣白髮丈垂千。其八缺 我。抱關之子孰能憐。越人▣▣▣▣▣。▣▣端宜▣▣藕船。柳下天和▣▣惠。魯中高義欲師連。靑牛一出關門外。應有新書著五千。其九遼陽玄鶴歸來晩。物是人非獨自憐。朗詠幾憑樓上柱。戛鳴時過月中船。夜光投暗劒皆按。白璧無雙城可連。十日滯留成邂逅。爲收珠咤篋藏千。其十 是年。自楊根。至漢江。水赤如血。栗里先生彭澤日。故園黃菊入遙憐。剡中忽憶鱸魚膾。壁上空浮竹葉船。聞道赤流楊漢接。旋看白氣斗牛連。時時借筯籌邊事。十一那能合百千。其十一纍纍然若喪家狗。聽說平生事事憐。日暮每迷前去路。雲深時喚渡頭船。身如秋葉飄飄轉。愁似蠶絲縷縷連。鏡裏只饒新白髮。朝來鑷百暮還千。其十二誰敎蟋蟀鳴秋苦。更有月華淸可憐。官况正如冰脫水。事功還似陸行船。強懷襲義增悲壯。高唱沈聲不續連。端坐曉窓無一事。白頭梳百又梳千。其十三魏瓢雖大竟何用。楚璞不售誰復憐。寂寂 缺 巨梓。茫茫野渡閣空船。茹毛世遠▣▣▣。▣▣年來戰伐連。獨立末路長咄咄。▣▣▣▣幾時千。</text>
<title>贈丁學官</title>,<text>關外風霜雙白頭。幕中樽酒未遣愁。輕寒透骨傷飄泊。斗米縻身愧滯留。千里得逢眸爲豁。蒼顔長對涕空流。相知心後言知己。子視吾心眷此州。</text>
<title>憶秋浦</title>,<text>西江一別信書稀。遙向君邊爲問之。老去風標髭髮勝。秋來眠食性靈頤。賦成鵩鳥已知數。召問鬼神應有期。白首故人瞻望苦。暮雲千里不勝悲。</text>
<title>三災極備。民生可虞。述所見。示太守。</title>,<text>水旱之餘又螣螟。田疇無復望西成。農夫束手頭相向。識者憂時淚欲傾。天意胡爲連赤地。朝家何以慰蒼生。邨南邨北炊烟斷。不待春來有餓氓。</text>
<title>寄朴士剛</title>,<text>飛鴻山下卜田廬。自把新庄作舊居。初愛林泉將老矣。竟懷桑榟忽歸歟。淸風明月分輸手。水榭荷池摠付予。况復門前香稻熟。浮人生事此權輿。</text>
<title>江上雜述 一則求助於人也。一則答景賢之詩。一則希景賢之來訪。</title>,<text>向來名利已歸虛。江上生涯一弊廬。茅捲三重愁杜甫。風穿四壁卧相如。瓢翻不耐牀牀漏。木腐難堪滴滴蛆。陶冶欲開空筭瓮。人工物役孰扶予。其二廿載風塵夢亦虛。閉門端坐白雲廬。流光荏䒣不吾與。暮色蒼茫何所如。老去功名飽後飯。從來富貴腐餘蛆。久於家食眞吾分。莫把陳辭強慰予。其三得地淸幽愛碧虛。一從三黜卧茅廬。玉川身世情相近。彭澤歸來迹豈如。偶向東籬採晩菊。還謀斗酒潑新蛆。重陽佳節明朝在。太守風流可訪予。</text>
<title>寄金得之</title>,<text>歲暮天涯客思酸。風光雖好共誰看。南湖雪漲人來斷。西海雲深鴈到難。王粲高樓岳色滿。嵆康一嘯琴聲寒。論心千里應容我。折寄梅花香未闌。</text>
<title>寄朴應赫</title>,<text>昔日關河佩虎符。今來旌節鎭西湖。從前冰糱知盈耳。此後軍民免剝膚。巨海樓船破竹勢。高亭樽俎折衝圖。公山倘有經過日。白馬江邊可訪吾。</text>
<title>李上舍壽百。過余吟示。喜而酬之。</title>,<text>門臨流水絶纖埃。勝槩奇觀面面開。半月城基圍曠野。當時輦路認孤臺。漁樵身世人行樂。盞酒登臨鴈叫哀。匹馬來尋還獨去。想應歸路首重回。</text>
<title>挽朴文起兄</title>,<text>俱是坡平外派親。兩家情分自先人。少年遊戲城南宅。衰境陪從五十春。衍宇羣居餘幾箇。同時諸子已爲塵。以兄可恃今長逝。末路惟餘老病身。</text>
<title>戲吟近體一首。呈徐玄紀 號藥峯。</title>,<text>廟堂方講江都筭。何狀今能當選掄。社稷民人皆學問。甲兵錢穀亦經綸。仲由見哂爲邦對。毛遂誰知脫穎人。日暮道長空白首。一生難得再靑春。</text>
<title>贈申玄翁 號象村</title>,<text>野可躬耕水可漁。不煩三黜賦歸歟。雙淸已入閒人手。十景盡輸虛室儲。身在廬山同瞽叟。眼須金鎞括盲余。畫圖自有丹靑妙。要把新詩賁草廬。</text>
<title>玄翁和之。又疊以贈。</title>,<text>多病江湖事釣漁。先憂後樂豈吾歟。蒼松苦竹不凋弊。明月淸風無盡儲。末路石交惟有子。暮年潦倒孰憐余。南歸贏得壺中日。春睡長酣諸葛廬。</text>
<title>安城道中</title>,<text>蔥秀山前去又還。身心忙擾未閒閒。濡毫點檢路夷險。立馬看詳橋毁完。㵎柳巖松渾不省。渚禽沙鳥亦何顔。今春已負歸田計。白首靑衫老一官。</text>
<title>吾助川上</title>,<text>聖居千瀑合回瀾。西注猪江作一灣。冰泮水深妨揭厲。橋危岸斷病躋攀。嗟無鄭相乘輿濟。將使唐兵跋涉還。十月徒杠違月令。終敎利涉屬郵官。</text>
<title>山城踏靑</title>,<text>山城亦可作山陰。此日閒行引興深。只見句萌初脫地。却嫌新綠未粧林。惠風好暢淸明節。春服皆同舞雩心。直待使君官釀熟。不妨寒食又來尋。</text>
<title>挽朴仁起</title>,<text>異姓還爲兄弟身。平生交契不須陳。芝蘭臭味薰馨德。水月精神見素眞。書榻寒燈成一夢。堂構後事屬何人。古傷伯道今傷子。欲向天翁問所因。</text>
<title>元日感興</title>,<text>半夜耐眠空守歲。燈前心緖繭絲長。流年不但爲深惜。虛老寧非可痛傷。月下瑤琴絃斷絶。匣中龍劒刃摧藏。莫如歸去江南曲。樊口漁船作漫郞。其二光陰荏䒣不留辰。到老慚爲自棄身。白髮三千箇白髮。新春五十八新春。蘧非已過雖無及。衛抑當前或可遵。獨立淸朝看物理。牛山草木氣津津。</text>
<title>寄呈朴說之 名東說。號南郭。</title>,<text>南郭秋粧面面堆。亂岑高拱入窓來。主人罕出門長掩。俗客稀時月滿臺。黃菊園林幽徑去。白雲書榻早朝回。茂陵多病長蕭索。竆巷如今長草萊。</text>
<title>又寄</title>,<text>一生惟足一籤書。拂袖吾將返舊居。標格未虧霜雪後。性靈猶保渾沌初。江湖漁釣前期在。堯舜君民宿計虛。末路相知能有幾。退衙來訪病相如。</text>
<title>次開平板上韻</title>,<text>雪消風暖欲浮烟。春意先回水檻前。華構翬飛臨濬壑。衆山屛擁作壺天。薪邨好雨隨耕耒。香岳晴嵐入几筵。客到興來持酒玩。四時佳景各生憐。</text>
<title>送別金仁吉</title>,<text>靑龍寺裏昔同裯。鐵瓮城邊又薄遊。說盡悲歡雙鬢雪。較來顔狀十年愁。當時舊伴今誰在。衰境重逢豈易謀。千里相分情轉劇。不堪西日下高樓。</text>
<title>曉牕呼韻</title>,<text>山城春早雪消遲。曉月依依透薄帷。五夜嚴更初定後。萬家砧杵欲沈時。西疇農事催歸計。南國梅花起我詩。撫枕長吁搔白首。幽懷說與故人知。</text>
<title>次贈李內翰</title>,<text>形勝周遭百二秦。繁華撩亂㵎瀍濱。緣雲粉堞橫翔雉。撲地靑樓見次鱗。鼓響暖消香嶽雪。歌脣吹放藥山春。錦城雖樂難娛客。異域從來易老人。</text>
<title>呼韻</title>,<text>春城漠漠覆春陰。野色無端撓客心。寒勒花房紅未放。風舒柳眼綠將侵。山禽互答林中哢。遊女行歌陌上吟。直待東臺時物好。挈壺攜妓去相尋。</text>
<title>與趙汝楫出行。各有失物。戲賦。</title>,<text>偶因魔戲敗淸遊。携手歸來共上舟。一屨一驢皆外物。人亡人得更何求。春山步武何當着。雪逕吟肩不自由。到此方知天意在。要令秘迹玩深幽。</text>
